                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6141,                  6.182,                 1.1801,                0.00016,                0.04688,                0.00015,                  4e-05,                 4.3329,                 28.072,                 3.2574,                 0.0002,                 0.0002,                 0.0002
                      2,                  1.793,                 5.6019,                 1.1852,                0.00016,                0.04688,                0.00021,                  6e-05,                 4.5401,                 33.132,                 3.8228,             0.00041792,             0.00041792,             0.00041792
                      3,                 1.6637,                 5.0181,                 1.1415,                0.00021,                 0.0625,                0.00014,                  4e-05,                 4.4794,                 27.353,                 3.7285,             0.00063366,             0.00063366,             0.00063366
                      4,                 1.8094,                 5.5489,                 1.2696,                0.00031,                0.09375,                0.00024,                  5e-05,                 4.0283,                  18.02,                 2.8763,             0.00084723,             0.00084723,             0.00084723
                      5,                 1.7301,                 4.1684,                 1.2972,                0.00016,                0.04688,                 0.0001,                  4e-05,                 4.3807,                 21.098,                 3.9943,              0.0010586,              0.0010586,              0.0010586
                      6,                  1.773,                 5.0262,                 1.2323,                0.00352,                0.03125,                0.00044,                0.00014,                 4.0682,                 41.815,                 3.8569,              0.0012678,              0.0012678,              0.0012678
                      7,                 1.8128,                 4.6373,                 1.2326,                0.00331,                0.01562,                0.00038,                0.00012,                 4.3828,                 39.629,                 3.8388,              0.0014749,              0.0014749,              0.0014749
                      8,                 1.9473,                 4.5906,                 1.3711,                0.00158,                0.03125,                0.00027,                  8e-05,                 4.0412,                 24.482,                 3.2117,              0.0016797,              0.0016797,              0.0016797
                      9,                 1.6775,                 3.9292,                 1.1656,                0.00031,                0.09375,                0.00022,                  8e-05,                 4.2518,                 18.951,                  3.607,              0.0018824,              0.0018824,              0.0018824
                     10,                 1.7299,                 3.4532,                 1.3312,                0.00036,                0.10938,                 0.0003,                  9e-05,                 4.0397,                 11.347,                 3.7395,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.7542,                 3.1543,                 1.2245,                0.00719,                0.01562,                0.00028,                  4e-05,                 4.5991,                 32.036,                 4.3568,               0.001901,               0.001901,               0.001901
                     12,                 1.9205,                 3.5965,                 1.3786,                0.00159,                0.01562,                0.00021,                  6e-05,                  4.444,                 42.742,                  4.017,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.7895,                 2.7543,                 1.3496,                0.00393,                0.01562,                 0.0009,                0.00021,                 4.0423,                 195.71,                 3.8375,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.9056,                 3.1057,                 1.3967,                0.00445,                0.01562,                0.00043,                 0.0001,                 4.3136,                 63.832,                 4.3793,              0.0018713,              0.0018713,              0.0018713
                     15,                 1.8425,                 2.9407,                  1.236,                0.00063,                0.01562,                 0.0002,                  5e-05,                   4.49,                 101.21,                 4.1521,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.8311,                 2.6365,                 1.2899,                0.00054,                0.03125,                0.00024,                  6e-05,                 4.4696,                  35.16,                 3.4316,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.7033,                 2.2723,                 1.3302,                0.00021,                 0.0625,                0.00013,                  4e-05,                 4.2984,                 18.926,                  3.039,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.6428,                 2.3817,                 1.2533,                0.00026,                0.07812,                0.00017,                  4e-05,                 4.3512,                 13.072,                 2.9335,              0.0018317,              0.0018317,              0.0018317
                     19,                 1.6076,                 2.2351,                 1.2368,                 0.0119,                0.01562,                0.00035,                  5e-05,                  4.377,                 12.803,                 3.1949,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.5122,                 1.9189,                 1.1938,                0.01684,                0.01562,                0.00045,                0.00013,                 4.1554,                 11.421,                 2.8408,              0.0018119,              0.0018119,              0.0018119
                     21,                 1.6421,                 2.1671,                 1.2581,                0.04008,                0.01562,                0.00078,                0.00012,                 4.3878,                 11.141,                 3.1216,               0.001802,               0.001802,               0.001802
                     22,                 1.6679,                 2.0767,                 1.3249,                0.01272,                0.01562,                0.00045,                  8e-05,                 4.2888,                 22.579,                  3.058,              0.0017921,              0.0017921,              0.0017921
                     23,                 1.5511,                  1.952,                  1.173,                0.00031,                0.09375,                0.00018,                  5e-05,                 4.1064,                 21.385,                 2.7636,              0.0017822,              0.0017822,              0.0017822
                     24,                 1.6554,                 2.0837,                 1.2628,                0.01346,                0.01562,                0.00044,                0.00012,                  4.267,                 12.087,                 3.1287,              0.0017723,              0.0017723,              0.0017723
                     25,                 1.6283,                 1.8436,                 1.3055,                 0.0159,                0.01562,                0.00041,                0.00013,                 4.5037,                 19.846,                 3.2485,              0.0017624,              0.0017624,              0.0017624
                     26,                 1.5699,                  1.791,                 1.2771,                0.00083,                0.03125,                0.00014,                  3e-05,                 4.2214,                 23.571,                 3.6295,              0.0017525,              0.0017525,              0.0017525
                     27,                 1.5979,                 1.7099,                 1.2343,                0.03362,                0.01562,                0.00105,                0.00021,                 4.1643,                 15.205,                 3.0934,              0.0017426,              0.0017426,              0.0017426
                     28,                 1.5863,                 1.5191,                 1.1653,                0.12655,                0.01562,                0.00571,                 0.0022,                 4.1931,                 23.294,                 2.9684,              0.0017327,              0.0017327,              0.0017327
                     29,                 1.7183,                 1.7184,                 1.1626,                0.41336,                0.01562,                0.01571,                0.00617,                 4.0395,                 11.514,                 2.8929,              0.0017228,              0.0017228,              0.0017228
                     30,                  1.561,                 1.5205,                 1.2239,                 0.3555,                0.01562,                0.00798,                0.00239,                 4.0397,                 11.985,                 2.7334,              0.0017129,              0.0017129,              0.0017129
                     31,                 1.5711,                  1.556,                 1.1587,                0.07326,                0.01562,                 0.0024,                0.00055,                 4.3517,                 10.091,                 2.9541,               0.001703,               0.001703,               0.001703
                     32,                  1.529,                 1.5323,                 1.2119,                0.01023,                0.01562,                0.00031,                  7e-05,                 4.0852,                 8.6262,                 2.8588,              0.0016931,              0.0016931,              0.0016931
                     33,                 1.5323,                 1.5037,                 1.1972,                0.00831,                0.01562,                0.00031,                  9e-05,                 4.3515,                 8.9853,                 2.9365,              0.0016832,              0.0016832,              0.0016832
                     34,                 1.3729,                 1.4118,                 1.1995,                0.04078,                0.01562,                0.00127,                0.00052,                 4.2365,                 8.2948,                  2.896,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.4796,                 1.3768,                 1.1557,                0.03046,                0.01562,                0.00058,                0.00023,                 4.0196,                 7.7966,                 2.5936,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.3584,                 1.4416,                 1.1886,                0.06443,                0.01562,                 0.0019,                0.00032,                 4.3403,                 13.965,                 2.9432,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.4751,                  1.553,                 1.2585,                0.03589,                0.01562,                0.00115,                0.00012,                  4.468,                 25.015,                 2.9504,              0.0016436,              0.0016436,              0.0016436
