                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73995,                0.58531,                0.88732,                0.04689,                0.01562,                0.00283,                0.00113,                 4.0605,                 10.756,                 2.7639,                 0.0002,                 0.0002,                 0.0002
                      2,                0.77555,                0.59085,                0.87868,                0.11035,                0.01562,                0.00603,                0.00241,                 4.0224,                 10.503,                 2.9907,             0.00041861,             0.00041861,             0.00041861
                      3,                0.82298,                0.59204,                0.92065,                0.14824,                0.01562,                 0.0086,                0.00258,                 4.2431,                 11.899,                 3.3622,             0.00063578,             0.00063578,             0.00063578
                      4,                0.93649,                0.63353,                0.91939,                0.20572,                0.01562,                0.00818,                0.00409,                  4.584,                 10.213,                 3.4339,             0.00085149,             0.00085149,             0.00085149
                      5,                0.89885,                0.62097,                0.95779,                0.03851,                0.01562,                 0.0018,                0.00054,                 4.4101,                 11.364,                 3.1025,              0.0010657,              0.0010657,              0.0010657
                      6,                0.91429,                0.66022,                0.91543,                0.17011,                0.01562,                0.00788,                0.00237,                 4.1376,                  9.686,                 2.9661,              0.0012786,              0.0012786,              0.0012786
                      7,                0.92926,                0.67479,                0.92996,                 0.0223,                0.01562,                 0.0006,                0.00024,                 4.2332,                  11.64,                 2.9172,              0.0014899,              0.0014899,              0.0014899
                      8,                0.97698,                   0.78,                 0.9699,                0.03693,                0.01562,                 0.0013,                0.00029,                 4.3378,                 10.152,                 2.9629,              0.0016998,              0.0016998,              0.0016998
                      9,                0.98776,                0.80507,                0.89888,                0.02497,                0.01562,                0.00076,                0.00027,                 4.3214,                 10.459,                 2.7774,              0.0019083,              0.0019083,              0.0019083
                     10,                0.95567,                0.80033,                0.98619,                0.03713,                0.01562,                0.00132,                0.00066,                 4.1126,                 8.7991,                 2.8985,              0.0019406,              0.0019406,              0.0019406
                     11,                 1.0723,                0.79461,                0.96025,                0.04978,                0.01562,                0.00166,                0.00066,                 4.3794,                 9.7905,                 3.1331,               0.001934,               0.001934,               0.001934
                     12,                 1.1415,                 0.8833,                 1.0038,                0.02729,                0.01562,                0.00094,                0.00019,                  4.219,                 9.1844,                 2.8593,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.0642,                0.73971,                0.98551,                0.04344,                0.01562,                0.00252,                 0.0005,                 4.1115,                 10.496,                 2.9356,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.1359,                0.83117,                  1.063,                0.57842,                0.01562,                0.01556,                0.00337,                 3.8647,                  8.398,                 2.9342,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.1845,                0.89858,                0.95395,                 0.1036,                0.01562,                 0.0079,                0.00237,                 4.1921,                 8.0607,                 2.7404,              0.0019076,              0.0019076,              0.0019076
                     16,                 1.1359,                0.78477,                0.99407,                 0.0498,                0.01562,                 0.0014,                0.00028,                 4.0127,                 8.4569,                 2.7503,               0.001901,               0.001901,               0.001901
                     17,                 1.0398,                0.73468,                 1.0201,                0.03477,                0.01562,                0.00089,                0.00027,                 4.1106,                 7.9447,                 2.5377,              0.0018944,              0.0018944,              0.0018944
                     18,                 1.1065,                 0.8087,                 1.0141,                0.01341,                0.01562,                0.00066,                0.00033,                  3.724,                 8.4425,                 2.7308,              0.0018878,              0.0018878,              0.0018878
                     19,                 1.0346,                 0.8264,                 1.0061,                0.03197,                0.01562,                0.00125,                0.00063,                 3.8604,                 10.318,                 2.9651,              0.0018812,              0.0018812,              0.0018812
                     20,                0.99947,                0.66194,                0.98187,                 0.0276,                0.01562,                0.00127,                0.00038,                 3.9238,                 8.5124,                 2.8496,              0.0018746,              0.0018746,              0.0018746
                     21,                 1.0823,                0.75504,                 1.0056,                 0.0546,                0.01562,                0.00193,                0.00019,                 3.8885,                 8.9086,                 2.5783,               0.001868,               0.001868,               0.001868
                     22,                 1.1217,                0.77078,                 1.0393,                0.03343,                0.01562,                0.00129,                0.00026,                 4.2081,                  9.287,                 2.7988,              0.0018614,              0.0018614,              0.0018614
                     23,                 1.1059,                0.80138,                0.94877,                0.02925,                0.01562,                0.00139,                0.00037,                 4.3021,                 9.6176,                 2.8911,              0.0018548,              0.0018548,              0.0018548
                     24,                 1.2786,                0.88144,                 1.0443,                0.02514,                0.01562,                0.00084,                0.00025,                 4.4036,                 11.332,                 2.9708,              0.0018482,              0.0018482,              0.0018482
                     25,                  1.165,                 0.8601,                 1.0159,                0.02671,                0.01562,                0.00141,                0.00028,                 4.2969,                 11.572,                 2.9785,              0.0018416,              0.0018416,              0.0018416
                     26,                 1.1941,                0.84704,                 1.0806,                0.03673,                0.01562,                0.00257,                0.00067,                 4.3166,                 9.6885,                 2.8258,               0.001835,               0.001835,               0.001835
                     27,                 1.0656,                 1.0852,                 1.0349,                0.00109,                0.03125,                0.00097,                0.00029,                 4.2552,                 9.7566,                   3.07,              0.0018284,              0.0018284,              0.0018284
                     28,                 1.0541,                0.69626,                0.97805,                0.03022,                0.01562,                0.00091,                0.00013,                  4.145,                 9.2704,                 2.6961,              0.0018218,              0.0018218,              0.0018218
                     29,                 1.1004,                0.76259,                0.97764,                0.03159,                0.01562,                0.00089,                0.00029,                 4.1633,                 10.791,                 2.8148,              0.0018152,              0.0018152,              0.0018152
                     30,                  1.031,                0.73002,                 1.0045,                0.03017,                0.01562,                0.00088,                0.00031,                 4.2682,                 10.101,                 2.8983,              0.0018086,              0.0018086,              0.0018086
                     31,                  1.129,                0.82951,                 1.0189,                0.02642,                0.01562,                0.00113,                0.00036,                 4.3197,                 10.834,                 2.9404,               0.001802,               0.001802,               0.001802
                     32,                 1.0921,                0.76491,                0.97482,                0.01247,                0.01562,                 0.0007,                0.00029,                 4.2045,                 9.2453,                 2.6701,              0.0017954,              0.0017954,              0.0017954
                     33,                 1.1032,                0.76077,                 1.0084,                0.01878,                0.01562,                0.00137,                0.00041,                 4.1109,                 9.4527,                 2.8727,              0.0017888,              0.0017888,              0.0017888
                     34,                0.98577,                0.78193,                 1.0026,                0.03197,                0.01562,                0.00187,                0.00037,                 4.1868,                 12.427,                 2.9686,              0.0017822,              0.0017822,              0.0017822
                     35,                 1.0292,                0.72681,                0.96596,                 0.0985,                0.01562,                0.00595,                0.00174,                  4.019,                 10.423,                 3.2607,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.0623,                0.71647,                  1.007,                0.02318,                0.01562,                0.00078,                0.00024,                 4.4084,                 11.192,                 3.6435,               0.001769,               0.001769,               0.001769
                     37,                 1.0719,                0.80326,                 1.0281,                0.02726,                0.01562,                0.00097,                0.00039,                 4.3915,                  10.81,                 3.5904,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.0788,                0.84761,                0.93814,                0.03258,                0.01562,                0.00153,                0.00061,                 4.1027,                 9.4006,                  2.945,              0.0017558,              0.0017558,              0.0017558
                     39,                  1.131,                0.76194,                0.96916,                0.02691,                0.01562,                 0.0009,                0.00045,                 4.0104,                 11.041,                 3.0196,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.1403,                0.72684,                0.95507,                0.02525,                0.01562,                0.00072,                0.00029,                 4.3128,                 11.401,                 3.1277,              0.0017426,              0.0017426,              0.0017426
                     41,                 0.9266,                0.72139,                0.95459,                0.02684,                0.01562,                0.00058,                0.00022,                 4.3353,                  12.51,                 2.9139,               0.001736,               0.001736,               0.001736
                     42,                 1.2067,                 1.0052,                 1.1549,                0.03666,                0.01562,                0.00093,                0.00028,                 4.2496,                  10.25,                 2.8666,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.0293,                0.74681,                0.91857,                0.03217,                0.01562,                0.00099,                 0.0003,                 4.0871,                 11.171,                 2.8664,              0.0017228,              0.0017228,              0.0017228
                     44,                0.95282,                0.70395,                0.97908,                0.06508,                0.01562,                0.00542,                0.00162,                 4.3716,                 11.455,                 3.1146,              0.0017162,              0.0017162,              0.0017162
